season,round,lap,driver,position,time
2017,6,34,raikkonen,3,1:34.039
2017,6,34,sainz,4,1:17.939
2017,6,34,bottas,5,1:19.431
2017,6,34,max_verstappen,6,1:17.774
2017,6,34,grosjean,7,1:17.694
2017,6,34,kevin_magnussen,8,1:17.425
2017,6,34,kvyat,9,1:17.884
2017,6,34,hamilton,10,1:17.544
2017,6,34,vandoorne,11,1:17.555
2017,6,34,massa,12,1:18.164
2017,6,34,ocon,13,1:18.024
2017,6,34,jolyon_palmer,14,1:17.937
2017,6,34,perez,15,1:17.792
2017,6,34,stroll,16,1:19.067
2017,6,34,ericsson,17,1:17.681
2017,6,34,wehrlein,18,1:20.555
2017,6,34,button,19,1:20.426
2017,6,35,vettel,1,1:16.446
2017,6,35,ricciardo,2,1:16.093
2017,6,35,raikkonen,3,1:19.518
2017,6,35,sainz,4,1:18.227
2017,6,35,bottas,5,1:17.783
2017,6,35,max_verstappen,6,1:16.863
2017,6,35,grosjean,7,1:17.575
2017,6,35,kevin_magnussen,8,1:17.482
2017,6,35,kvyat,9,1:17.350
2017,6,35,hamilton,10,1:18.283
2017,6,35,vandoorne,11,1:17.465
2017,6,35,massa,12,1:18.405
2017,6,35,ocon,13,1:18.351
2017,6,35,jolyon_palmer,14,1:18.198
2017,6,35,perez,15,1:16.343
2017,6,35,stroll,16,1:18.686
2017,6,35,ericsson,17,1:35.806
2017,6,35,wehrlein,18,1:19.557
2017,6,35,button,19,1:19.099
2017,6,36,vettel,1,1:16.264
2017,6,36,ricciardo,2,1:16.019
2017,6,36,raikkonen,3,1:16.114
2017,6,36,sainz,4,1:18.811
2017,6,36,bottas,5,1:17.164
2017,6,36,max_verstappen,6,1:17.507
2017,6,36,grosjean,7,1:17.936
2017,6,36,kevin_magnussen,8,1:17.712
2017,6,36,hamilton,9,1:17.487
2017,6,36,vandoorne,10,1:17.301
